Name,Email,Phone,Office Phone,Fax,Primary Contact,Alt. Email,NextService Project Type,Estimate,Labor Cost (ATTB),MJC Project TopLevelParent (TLP),MJC Net Profit,MJC Project 003,MJC Immediate Parent Project,Project Close Date,Prime Sales Rep,AIA Retainage %,AIA Retainage Cost,AIA Planned SO,Custom Tax Item,Customer Refund Entity Bank Subsidiary,Customer Refund Entity Bank Format,Cust Ref File Format,Customer DD Entity Bank Subsidiary,Customer DD Entity Bank Format,Direct Debit File Format
Bear Hydro Limited Partnership,,,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Beedie Construction Ltd.,nate.mcgroarty@beedie.ca,,,,,,,,,,,,,,Chris DUGGAN,,,,G - GST only,,,,,,
Bell Media Inc.,,,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Bell Tech Systems Ltd.,,250-360-2233,250-857-0485,,,,,,,,,,,,,,,,G - GST only,,,,,,
Bernie Osborne Electric Ltd.,,250-386-9108,250-883-1119,,,,,,,,,,,,,,,,G - GST only,,,,,,
Berwick Retirement,,250-385-1505,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Berwick Royal Oak,,250-386-4680,250-940-1308,,,,,,,,,,,,,,,,G - GST only,,,,,,
BGIS,,250-952-3839,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Bianco Enterprises Ltd.,,604-961-3485,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Big Silver Creek L.P.,,604-894-6862,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Black & McDonald,,604-301-1070,,,,,,,,,,,,,,,,,G - GST only,,,,,,
BluEarth Asset Management Inc.,,403-668-1575,844-214-2578,,,,,,,,,,,,,,,,G - GST only,,,,,,
Boralex,,819-363-6363,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Boralex Ocean Falls LP,,819-363-6363,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Boston Bar Limited Partnership,,905-829-6360,604-860-3199,,,,,,,,,,,,,,,,G - GST only,,,,,,
Boulder Creek Power LP,,604-633-9990,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Box Canyon Hydro Corp.,,604-648-6609,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Braker Electric Ltd.,,250-723-7506,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Brechin United Church,,604-692-1434,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Brentwood College,,250-743-5521,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Brewis Electric Company Ltd.,,250-383-5157,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Bridge Electric Corp.,,604-273-2744,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Bridge Systems,,250-475-3766,,,Glen Byrne,,,,,,,,,,,,,,G - GST only,,,,,,
Brite-Lite Inc.,,604-525-5549,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Broadmead Care Society,,250-658-0311,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Brookfield Power Renewable,,604-661-9602,778-988-5431,,,,,,,,,,,,,,,,G - GST only,,,,,,
Brown Bros. Agencies Ltd.,,250-385-8771,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Brown Miller Power L.P.,,450-928-2550,,,,,,,,,,,,,,,,,G - GST only,,,,,,
BV Electric Ltd.,,250-877-9642,250-635-6287,,,,,,,,,,,,,,,,G - GST only,,,,,,
BWL Marine Services,,250-537-6615,250-537-4988,,,,,,,,,,,,,,,,G - GST only,,,,,,
C R Metal Fabricators,,250-286-6313,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Cairns Electric Ltd.,,604 - 468-0631,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Calgar Electrical Installations,,250-658-2983,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Camosun College,,250-370-3044,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Canadian Coast Guard,,250-480-2627,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Canadian Coast Guard Marine Engineering,,,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Canadian Hydro Components Ltd - CAD,,(613) 256-1983,,,Andrew Treble,,,,,,,,,,,,,,CA-E,,,,,,
Canadian Hydro Components Ltd.,,613-256-1983,,,Andrew Treble,,,,,,,,,,,,,,CA-E,,,,,,
Canadian Hydro Components Ltd. (inactive),,613-256-1983,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Canadian Hydro Developers Inc.,,,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Canadian Mountain Holidays LP,,403-762-7113,403-762-7100,,,,,,,,,,,,,,,,G - GST only,,,,,,
Canadian Projects Limited,,403-508-1562,403-508-1560,,,,,,,,,,,,,,,,G - GST only,,,,,,
Canem Systems Ltd.,,(250) 475-1955,,,Dwain Finner,,,,,,,,,,,,,,G - GST only,,,,,,
Canoe Creek Hydro,,250-390-2627,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Canreal Management Corporation,,604-688-8851,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Cantec Electrical Services Ltd.,,604-590-4555,604-970-7270,,,,,,,,,,,,,,,,,,,,,,
Canyon Hydro,,,,,,,,,,,,,,,Eric SLEIGH,,,,,,,,,,
Cape Scott Wind LP,,604-561-9473,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Capital City Paving,,250-652-3626,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Capital Electrical Systems Ltd.,,250-652-2127,250-883-8634,,,,,,,,,,,,,,,,G - GST only,,,,,,
Capital Regional District,,250-360-3000,250-360-3121,,,,,,,,,,,,,,,,G - GST only,,,,,,
CAPREIT,,778-432-0727,,,,,,,,,,,,,,,,,G - GST only,,,,,,
"CARDIFF, Keith",,250-294-5919,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Cash Sale,,,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Catalyst Paper,,250-734-8011,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Cayoose Creek Power L.P.,,,,,,,,,,,,,,,,,,,G - GST only,,,,,,
CBS Electrical Contractors,,250-818-6755,,,,,,,,,,,,,,,,,G - GST only,,,,,,
CDN Controls Ltd.,,(780) 831-7214,,,,,,,,,,,,,Shane BLACK,,,,G - GST only,,,,,,
Cedar Road Bioenergy Inc.,,250-816-2250,,,,,,,,,,,,,,,,,G - GST only,,,,,,
CEL - Community Electric Ltd.,,306-477-8822,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Central Island Powerline Ltd.,,250-748-0536,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Centurion Electric Ltd.,admin@centurionelectric.ca,(604) 270-0107,,,,,,,,,,,,,Chris DUGGAN,,,,G - GST only,,,,,,
Chris Duggan,Chris.duggan@primeeng.ca,2508936031,,,,,,,,,,,,,,,,,,,,,,,
Church & Chapel Holdings Ltd.,,250-753-5757,800-769-5757,,,,,,,,,,,,,,,,G - GST only,,,,,,
CIPA Lumber,,604-523-2250,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Citta Construction Ltd.,,250-544-1837,,,,,,,,,,,,,,,,,G - GST only,,,,,,
City Electric Supply,,604-539-9331,855-495-0535,,,,,,,,,,,,,,,,G - GST only,,,,,,
City of Campbell River,,250-286-5700,,,,,,,,,,,,,,,,,G - GST only,,,,,,
City of Nanaimo,,250-755-4417,,,,,,,,,,,,,,,,,G - GST only,,,,,,
City of Parksville,,250-248-6144,,,Sean O'Toole,,,,,,,,,,,,,,G - GST only,,,,,,
City of Victoria,,250-361-0244,250-883-0754,,,,,,,,,,,,,,,,G - GST only,,,,,,
Civeo Structures Inc.,,780-733-4940,,,,,,,,,,,,,,,,,G - GST only,,,,,,
CIVI Television,,250-381-2484,250-381-2485,,,,,,,,,,,,,,,,G - GST only,,,,,,
Clean Energy Consulting Inc,,,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Clowhom Power L.P.,,403-668-1575,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Coast Mountain Bus Company Ltd.,,604-953-3069,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Coast Mountain Hydro Limited Partnership,,604-623-4750,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Coast Mountain Hydro LP,,,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Code Electric Products Ltd.,,604-540-0011,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Colgan Electric Ltd.,,250-287-0177,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Colliers International,,250-388-6454,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Cologix Canada Inc.,,855-265-6449,438-798-0147,,,,,,,,,,,,,,,,_CA-E,,,,,,
Colonial Countertops,,250-383-1926,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Community Electric Ltd.,,306-652-5005,306-477-8822,,,,,,,,,,,,,,,,G - GST only,,,,,,
Comox Pacific Express,,,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Compass Electric,,250-886-4611,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Continental Power Services (1987) Ltd.,,604-420-2899,604-892-2227,,,,,,,,,,,,,,,,G - GST only,,,,,,
Convertus Group,,(778) 806-1206,,,,,,,,,,,,,David Hoar,,,,,,,,,,
Cooper Power Industries,,,,,,,,,,,,,,,,,,,G - GST only,,,,,,
"Cooper Power Systems, LLC",,,,,,,,,,,,,,,,,,,_CA-E,,,,,,
Corix Multi-Utility Sevices Inc.,,250-377-7757,604-232-2122,,,,,,,,,,,,,,,,G - GST only,,,,,,
Corporation of the City of Duncan,,250-746-6126,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Corporation of the District of Saanich,,250-475-1775,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Corporation of the Township of Esquimalt,,250-414-7100,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Crombie REIT,,844-868-8648,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Cullen Diesel Power,,604-888-1211,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Culliton Creek Power Limited Partnership,,403-508-1562,403-508-1560,,,,,,,,,,,,,,,,G - GST only,,,,,,
Cummins Canada ULC,,604 - 882-5000,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Current Electric,,250-472-0666,,,,,,,,,,,,,,,,,G - GST only,,,,,,
D.D. Mac Electric Ltd.,,905-857-1210,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Daiya Foods Inc.,,604-569-0530,877-324-9211,,,,,,,,,,,,,,,,G - GST only,,,,,,
Dandzen Development Partnership Limited,,778-799-2145,250-392-3918,,,,,,,,,,,,,,,,G - GST only,,,,,,
Darwin Construction (Canada) Ltd.,,604-929-7944,,,,,,,,,,,,,,,,,G - GST only,,,,,,
DB Services,,250-474-7020,778-977-4144,,,,,,,,,,,,,,,,G - GST only,,,,,,
DCS Electrical,,250-886-7057,,,,,,,,,,,,,,,,,G - GST only,,,,,,
DEA Electric,,250-216-1033,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Delta Electric Ltd.,,,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Delta Transformers,,450-378-3617,,,,,,,,,,,,,,,,,G - GST only,,,,,,
DenMar Electric,,250-758-8464,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Dennison Property Management Ltd.,,604-982-7058,604-982-7065,,,,,,,,,,,,,,,,G - GST only,,,,,,
Dent Island Lodge Ltd.,,250-287-5970,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Department of Fisheries and Oceans,,,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Department of National Defence,,250-363-3298,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Destination Toyota,,604-571-4350,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Devon Properties Ltd.,,250-595-7000,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Diacarbon Energy Inc.,,604-291-0001,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Dircam Electric Limited,,416-798-1115,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Discovery Diesel Electric 2006 Ltd.,,250-286-9621,,,,,,,,,,,,,,,,,G - GST only,,,,,,
District of Lake Country,,250-766-5650,,,,,,,,,,,,,,,,,G - GST only,,,,,,
District of North Cowichan,,250-746-3100,,,Shane Hixson,,,,,,,,,,,,,,G - GST only,,,,,,
Ditidaht First Nation,,250-390-2627,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Division 16 Technologies Ltd.,office@d16.ca,(604) 762-5600,,,,,,,,,,,,,Chris DUGGAN,,,,GP - GST/PST - BC,,,,,,
DL14605 Developments Ltd.,greg.alexander@jamesisland.ca,(250) 883-3764,,,,,,,,,,,,,,,,,GP - GST/PST - BC,,,,,,
DMD & Associates Ltd.,,604-589-9010,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Dogwood Ltd.,,604-530-9134,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Doran-Taylor Hydro,,604-683-8271,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Dorchester - VIS1193,,250-217-6610,250-385-8771,,,,,,,,,,,,,,,,G - GST only,,,,,,
DPM Strata Management,,778-338-6348,778-338-6352,,,,,,,,,,,,,,,,G - GST only,,,,,,
Dr. V.A. Gooderham Med Prof Corp,,250-940-6010,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Driftwood Brewing Company,,250-514-8077,,,,,,,,,,,,,,,,,G - GST only,,,,,,
DSS Holdings Inc.,,250-589-1819,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Duke Energy Business Service,,,,,,,,,,,,,,,,,,,_CA-E,,,,,,
Duncan Retail Limited Partnership,,250-748-2942,,,,,,,,,,,,,,,,,G - GST only,,,,,,
E.B. Horsman & Sons,,778-545-4620,778-545-9916,,,,,,,,,,,,,,,,G - GST only,,,,,,
EastPoint,,902-422-2000,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Eaton,,414-768-8448,,,,,,,,,,,,,,,,,_CA-E,,,,,,
Eaton Canada,,604-519-1250,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Eaton Corporation,,,,,,,,,,,,,,,,,,,_CA-E,,,,,,
Eco Flow Energy Corp.,,604-940-0402,604-349-1954,,,,,,,,,,,,,,,,G - GST only,,,,,,
Edwards Electric (2003) Ltd.,,250-652-9166,,,Terry Hull,,,,,,,,,,,,,,G - GST only,,,,,,
Edwards Electric Ltd.,,250-656-2602,250-888-0001,,,,,,,,,,,,,,,,G - GST only,,,,,,
"Eecol Electric, Courtenay",,(250) 338-5100,,,,,,,,,,,,,,,,,CA-GST only,,,,,,
"Eecol Electric, Cranbrook",,(250) 426-2555,,,,,,,,,,,,,,,,,G - GST only,,,,,,
"Eecol Electric, Kelowna",,(250) 762-0557,,,,,,,,,,,,,,,,,,,,,,,
"Eecol Electric, Langley",,(604) 455-6060,,,Jillian Weston,,,,,,,,,,,,,,G - GST only,,,,,,
"Eecol Electric, North Vancouver",,(604) 984-4194,,,,,,,,,,,,,Matthew SULLIVAN,,,,G - GST only,,,,,,
"Eecol Electric, Regina",,(306) 525-2317,,,,,,,,,,,,,,,,,G - GST only,,,,,,
"Eecol Electric, Surrey",,(604) 502-5670,,,Derrick Kimball,,,,,,,,,,,,,,G - GST only,,,,,,
"Eecol Electric, Victoria",,(250) 475-7578,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Electricity Human Resources Canada,,,,,,,,,,,,,,,,,,,,,,,,,
Electron Metal AIG Inc.,,866-967-2257,450-625-8064,,,,,,,,,,,,,,,,G - GST only,,,,,,
EllisDon Corporation,,604-247-1072,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Emery Electric Limited,,250-383-6961,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Empress Hotel GP Inc,,,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Ener-Lite Systems,,604-850-3232,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Enerdu Power Systems Ltd.,,613-293-2606,613-257-2918,,,,,,,,,,,,,,,,G - GST only,,,,,,
Enerpex Inc.,,780-803-9473,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Eppic Waterjet Inc.,,250-652-2220,250-882-9042,,,,,,,,,,,,,,,,G - GST only,,,,,,
Eric Redmond,,604-688-8271,778-869-9802,,,,,,,,,,,,,,,,G - GST only,,,,,,
Everatt Electric,,250-882-7130,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Evolve Engineering Inc.,,250-858-1464,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Executive House Power,,,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Exell Power,,604-514-9472,,,,,,,,,,,,,,,,,G - GST only,,,,,,
F&M Installations Ltd.,,250-753-1214,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Fairex Enterprises Ltd.,,236-594-8111,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Fairmont Empress,,250-384-8111,250-389-2715,,,,,,,,,,,,,,,,G - GST only,,,,,,
Falcon Electric Ltd.,,604-485-5209,604-483-1483,,,,,,,,,,,,,,,,G - GST only,,,,,,
Fibreco Export Inc.,,,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Field Service Test Company,johndoe@testelectric.ca,2508939089,,,,,,,,,,,,,,,,,,,,,,,
Finning (Canada),,,780-443-7043,,,,,,,,,,,,,,,,G - GST only,,,,,,
Firm Management,,250-544-2300,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Fisheries & Oceans Canada,,250-363-6320,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Fitzsimmons Creek Hydro Ltd.,,604-633-9990,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Formwerks Boutique,,,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Forrest Island Ranch,,250-896-8788,,,,,,,,,,,,,,,,,G - GST only,,,,,,
FortisBC Energy Inc.,,604-592-7688,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Fraser City Installations (1989) Ltd.,,604-859-8520,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Fraser Health Authority,,604-455-1300,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Fraser Valley Refrigeration,,604-856-8644,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Freshwater Fisheries Society of BC,,250-746-5180,250-510-4311,,,,,,,,,,,,,,,,G - GST only,,,,,,
Frontier-Kemper Constructors ULC,,778-346-4044,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Fundamental Power,,778-788-7697,778-688-2434,,,,,,,,,,,,,,,,G - GST only,,,,,,
G&W Canada Corporation,,905-542-2000,905-285-2287,,,,,,,,,,,,,,,,G - GST only,,,,,,
Garibaldi Electrical Contractors Ltd.,,604-932-4500,604-213-0400,,,,,,,,,,,,,,,,G - GST only,,,,,,
GB Agencies Ltd.,,,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Generous Electric,,250-701-3610,,,,,,,,,,,,,,,,,G - GST only,,,,,,
"Gescan, Div. of Sonepar Canada",,604-528-3600,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Gilbert Gilkes & Gordon Ltd.,,44-1539-720028,,,,,,,,,,,,,,,,,_CA-E,,,,,,
Giusti Nairne Personal Injury Lawyers,,604-669-2238,855-669-2238,,,,,,,,,,,,,,,,G - GST only,,,,,,
Glenco Electric,,604-856-8553,,,,,,,,,,,,,,,,,G - GST only,,,,,,
Golden Valley Foods Ltd.,,604-302-1033,604-857-0704,,,,,,,,,,,,,,,,G - GST only,,,,,,
Goldstream Press,,250-727-2460,604-851-4488,,,,,,,,,,,,,,,,G - GST only,,,,,,
Goodwin Industrial Electric Ltd.,,,,,,,,,,,,,,,Shane BLACK,,,,,,,,,,
Gorge Electrical Services Ltd.,,250-658-0960,250-883-4236,,,,,,,,,,,,,,,,G - GST only,,,,,,
Gorter Construction Limited,,250-380-7343,250-883-5823,,,,,,,,,,,,,,,,G - GST only,,,,,,
Greater Victoria Harbour Authority,,250-383-8300,250-880-1654,,,,,,,,,,,,,,,,G - GST only,,,,,,
Greenberg Electric,,250-472-2010,250-889-9081,,,,,,,,,,,,,,,,G - GST only,,,,,,
Grieg Seafood BC Ltd.,,(250) 283-2297,,,,,,,,,,,,,Chris DUGGAN,,,,,,,,,,
